City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
346,Bambanglipuro,ID,84.24,broken clouds,-7.95,110.2833,Puri Brata
351,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
352,Pangkalanbuun,ID,86.25,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
354,Bambous Virieux,MU,79.0,light rain,-20.3428,57.7575,Casa Tia Villa
361,Sao Joao Da Barra,BR,73.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
362,Road Town,VG,77.0,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
363,Uberaba,BR,75.2,clear sky,-19.7483,-47.9319,Tamareiras Park Hotel
366,Sao Felix Do Xingu,BR,73.47,light rain,-6.6447,-51.995,Rio Xingu Camping
367,Bacolod,PH,87.35,overcast clouds,10.6667,122.95,Planta Hotel & Residences
372,Padang,ID,78.8,few clouds,-0.9492,100.3543,Mercure Padang
375,Kirakira,SB,84.22,moderate rain,-10.4544,161.9205,SanBiz Lodge
377,Puerto Colombia,CO,78.8,few clouds,10.9878,-74.9547,Hotel El Emigrante
380,Saint-Pierre,RE,77.0,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
385,Barinas,VE,80.47,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
390,Manggar,ID,84.51,overcast clouds,-2.8833,108.2667,Guest Hotel
391,Acapulco,MX,80.6,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
393,Inirida,CO,74.28,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
394,Sao Jose Da Coroa Grande,BR,77.67,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
396,Buraydah,SA,80.6,few clouds,26.326,43.975,فندق راحة السلام
402,Kovur,IN,81.3,overcast clouds,14.4833,79.9833,Hotel Yesh Park
406,Iracoubo,GF,75.65,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
409,Piacabucu,BR,79.38,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
410,Ambon,ID,78.8,heavy intensity rain,-3.6954,128.1814,Swiss-Belhotel Ambon
411,Gainesville,US,73.4,broken clouds,29.6516,-82.3248,Holiday Inn Gainesville-University Ctr
412,Bowen,AU,86.0,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
414,Mudgal,IN,80.96,broken clouds,16.0167,76.4333,Bhiralingeshwar Hotal Mudgal
416,Alice Springs,AU,81.0,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
421,Bandarbeyla,SO,76.05,clear sky,9.4942,50.8122,JABIR HOTEL
422,Itarema,BR,79.38,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
430,Nelson Bay,AU,73.0,broken clouds,-32.7167,152.15,Mantra Nelson Bay
432,Cayenne,GF,79.0,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
434,Vao,NC,76.08,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
439,Tautira,PF,86.0,scattered clouds,-17.7333,-149.15,Pension Oaoa
441,Qui Nhon,VN,80.91,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
442,Arlit,NE,82.0,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
443,La Joya,MX,81.18,few clouds,18.6667,-99.4667,HOTEL Y RESTAURANTE BUGAMBILIAS
444,Geraldton,AU,78.8,light rain,-28.7667,114.6,Broadwater Mariner Resort
446,Francia,HN,84.2,broken clouds,15.85,-85.5833, 
448,Huntington,US,73.4,clear sky,38.4193,-82.4452,Ramada Limited Huntington
451,Cocobeach,GA,78.8,light rain,1.0002,9.5823,Hotel Esperance
452,Sigli,ID,82.22,overcast clouds,5.3848,95.9609,Losmen Dua Mali
460,Caravelas,BR,72.68,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
463,Phuket,TH,88.0,few clouds,8.0,98.25,The Surin Phuket
470,Harper,LR,79.03,overcast clouds,4.375,-7.7169,Screensaver
472,Sibu,MY,78.8,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
473,Lazaro Cardenas,MX,75.42,clear sky,17.9583,-102.2,Hotel Quinta Antigua
476,Marawi,PH,84.0,overcast clouds,7.9986,124.2928,Derogongan Residence
479,Kununurra,AU,87.8,scattered clouds,-15.7667,128.7333,Hotel Kununurra
483,Sao Filipe,CV,74.89,scattered clouds,14.8961,-24.4956,Tortuga B&B
492,Birnin Kebbi,NG,83.21,clear sky,12.4539,4.1975,Saffar Guest Inn Ltd
497,Perth,AU,73.0,clear sky,-31.9333,115.8333,Beatty Lodge
498,Muswellbrook,AU,72.72,few clouds,-32.2667,150.9,Wayfarer Motel
499,Tessalit,ML,80.31,clear sky,20.1986,1.0114, 
501,Dhidhdhoo,MV,82.09,clear sky,6.8833,73.1,Dhidhoo beach
506,Houma,US,77.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
509,Teknaf,BD,80.94,clear sky,20.8624,92.3058,Forestry Guesthouse
510,Pedernales,DO,77.92,overcast clouds,18.0384,-71.744,Hotel Costa Marina
512,Morgan City,US,75.2,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
517,Playas,EC,75.18,light rain,-2.6333,-80.3833,Hostal Promenade
519,Kismayo,SO,81.03,light rain,-0.3582,42.5454,Agan-Hotel
520,Sinazongwe,ZM,70.14,clear sky,-17.2614,27.4618,Lakeview Lodge
525,Jalingo,NG,81.21,broken clouds,8.8833,11.3667,Debright Motel
529,Vanimo,PG,82.09,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
531,Jiwani,PK,77.49,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
533,Providencia,MX,88.0,clear sky,28.7167,-111.5833, 
535,Black River,JM,78.8,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
538,Sokoto,NG,86.63,clear sky,13.0609,5.239,Shukura Coral Hotel
541,Ciudad Bolivar,VE,83.46,overcast clouds,8.1222,-63.5497,Hotel Edi
543,Nisia Floresta,BR,78.8,clear sky,-6.0911,-35.2086,Rancho Crepusculo
547,Pasighat,IN,70.72,overcast clouds,28.0667,95.3333,Siang Guest House
549,Aborlan,PH,86.0,scattered clouds,9.4352,118.5492,Kevina Transient House
551,Moron,AR,72.0,overcast clouds,-34.6534,-58.6198,Hotel Morón
552,Sinnamary,GF,76.41,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
554,Bara,NG,78.78,overcast clouds,10.3744,10.7288, 
557,Bafoulabe,ML,89.1,clear sky,13.8065,-10.8321, 
558,Latung,PH,82.69,moderate rain,5.5,120.8833, 
560,Aquiraz,BR,84.2,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
561,Kota Belud,MY,84.2,few clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
564,Saint-Georges,GD,82.4,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
565,Wattegama,LK,75.2,few clouds,6.7989,81.4808, 
566,Porto Nacional,BR,78.8,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
568,Amarante Do Maranhao,BR,73.47,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
569,Oriximina,BR,75.22,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
570,Nortelandia,BR,73.35,moderate rain,-14.4547,-56.8028,Hotel Karysmã
