City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Dikson,RU,2021-04-04 23:52:10,73.5069,80.5464,4.68,93,99,5.68
97,Waipawa,NZ,2021-04-04 23:52:10,-41.4122,175.5153,68.0,73,52,24.16
98,Freeport,US,2021-04-04 23:51:22,40.6576,-73.5832,57.0,62,20,8.05
99,Gizo,SB,2021-04-04 23:52:10,-8.103,156.8419,84.49,70,86,5.32
100,Sola,VU,2021-04-04 23:52:11,-13.8833,167.55,79.74,80,97,15.03
101,Morros,BR,2021-04-04 23:52:11,-9.4467,-46.3003,77.77,60,68,1.28
102,Albany,US,2021-04-04 23:52:12,42.6001,-73.9662,55.4,32,40,17.27
103,Punta Arenas,CL,2021-04-04 23:52:12,-53.15,-70.9167,42.8,75,0,20.71
104,Macklin,CA,2021-04-04 23:52:12,52.3334,-109.9348,48.2,53,79,16.11
105,Torrelavega,ES,2021-04-04 23:52:13,43.3494,-4.0479,46.99,88,2,1.01
106,Hilo,US,2021-04-04 23:52:13,19.7297,-155.09,75.2,73,90,9.31
107,Khandyga,RU,2021-04-04 23:52:14,62.6667,135.6,-6.07,91,55,1.74
108,Bac Lieu,VN,2021-04-04 23:52:14,9.285,105.7244,82.54,75,68,17.94
109,Arinos,BR,2021-04-04 23:52:14,-15.9169,-46.1056,74.48,78,100,3.22
110,Vangaindrano,MG,2021-04-04 23:52:15,-23.35,47.6,71.55,91,18,6.67
111,Rio Gallegos,AR,2021-04-04 23:48:09,-51.6226,-69.2181,42.8,70,20,10.36
112,Phan Thiet,VN,2021-04-04 23:52:15,10.9333,108.1,79.0,66,100,7.74
113,Peterhead,GB,2021-04-04 23:48:11,57.5058,-1.7981,30.99,74,20,26.46
114,Beni Suef,EG,2021-04-04 23:52:16,29.0731,31.0979,62.26,26,0,6.87
115,Tuatapere,NZ,2021-04-04 23:52:16,-46.1333,167.6833,57.99,64,98,21.0
116,Dongli,CN,2021-04-04 23:52:17,23.5656,116.8194,66.2,82,75,4.47
117,Hovd,MN,2021-04-04 23:52:17,48.0056,91.6419,30.94,24,12,1.7
118,Barrow,US,2021-04-04 23:52:18,71.2906,-156.7887,-2.2,65,1,14.97
119,Tasiilaq,GL,2021-04-04 23:49:36,65.6145,-37.6368,19.4,86,90,21.85
120,Nome,US,2021-04-04 23:51:36,64.5011,-165.4064,3.99,71,1,18.41
121,Hailar,CN,2021-04-04 23:52:18,49.2,119.7,37.27,55,95,19.69
122,Honiara,SB,2021-04-04 23:49:27,-9.4333,159.95,86.47,69,43,3.49
123,Kigali,RW,2021-04-04 23:52:19,-1.95,30.0588,58.78,97,97,2.62
124,Narsaq,GL,2021-04-04 23:52:19,60.9167,-46.05,3.2,100,90,5.95
125,Seoul,KR,2021-04-04 23:49:56,37.5683,126.9778,50.0,62,0,1.14
126,Moron,AR,2021-04-04 23:49:56,-34.6534,-58.6198,71.01,83,0,3.0
127,Presidencia Roque Saenz Pena,AR,2021-04-04 23:52:20,-26.7852,-60.4388,76.84,65,100,5.32
128,Pevek,RU,2021-04-04 23:52:21,69.7008,170.3133,-6.74,91,95,7.85
129,Port Hedland,AU,2021-04-04 23:52:21,-20.3167,118.5667,78.8,47,18,4.61
130,Tateyama,JP,2021-04-04 23:52:22,34.9833,139.8667,62.01,100,75,5.75
131,Mount Isa,AU,2021-04-04 23:52:22,-20.7333,139.5,78.8,65,90,12.66
132,Kodiak,US,2021-04-04 23:50:50,57.79,-152.4072,50.0,53,40,12.66
133,Sur,OM,2021-04-04 23:52:23,22.5667,59.5289,83.41,41,3,7.31
134,Palana,RU,2021-04-04 23:52:23,59.1167,159.9667,21.16,88,100,5.39
135,Zaokskiy,RU,2021-04-04 23:52:24,54.7306,37.4089,25.0,90,24,5.73
136,Port Elizabeth,ZA,2021-04-04 23:52:24,-33.918,25.5701,68.0,77,90,10.36
137,Puerto Ayora,EC,2021-04-04 23:52:25,-0.7393,-90.3518,78.01,92,50,1.99
